style,ibu_min,ibu_max,srm_min,srm_max,og_min,og_max,fg_min,fg_max,abv_min,abv_max
American Light Lager,8,12,2,3,1.028,1.04,0.998,1.008,2.8,4.2
American Lager,8,18,2,3.5,1.04,1.05,1.004,1.01,4.2,5.3
Cream Ale,8,20,2,5,1.042,1.055,1.006,1.012,4.2,5.6
American Wheat Beer,15,30,3,6,1.04,1.055,1.008,1.013,4,5.5
International Pale Lager,18,25,2,6,1.042,1.05,1.008,1.012,4.5,6
International Amber Lager,8,25,6,14,1.042,1.055,1.008,1.014,4.5,6
International Dark Lager,8,20,14,30,1.044,1.056,1.008,1.012,4.2,6
Czech Pale Lager,20,35,3,6,1.028,1.044,1.008,1.014,3,4.1
Czech Premium Pale Lager,30,45,3.5,6,1.044,1.06,1.013,1.017,4.2,5.8
Czech Amber Lager,20,35,10,16,1.044,1.06,1.013,1.017,4.4,5.8
Czech Dark Lager,18,34,17,35,1.044,1.06,1.013,1.017,4.4,5.8
Munich Helles,16,22,3,5,1.044,1.048,1.006,1.012,4.7,5.4
Festbier,18,25,4,6,1.054,1.057,1.01,1.012,5.8,6.3
Helles Bock,23,35,6,9,1.064,1.072,1.011,1.018,6.3,7.4
German Leichtbier,15,28,1.5,4,1.026,1.034,1.006,1.01,2.4,3.6
Kölsch,18,30,3.5,5,1.044,1.05,1.007,1.011,4.4,5.2
German Helles Exportbier,20,30,4,6,1.05,1.058,1.008,1.015,5,6
German Pils,22,40,2,4,1.044,1.05,1.008,1.013,4.4,5.2
Märzen,18,24,8,17,1.054,1.06,1.01,1.014,5.6,6.3
Rauchbier,20,30,12,22,1.05,1.057,1.012,1.016,4.8,6
Dunkles Bock,20,27,14,22,1.064,1.072,1.013,1.019,6.3,7.2
Vienna Lager,18,30,9,15,1.048,1.055,1.01,1.014,4.7,5.5
Altbier,25,50,9,17,1.044,1.052,1.008,1.014,4.3,5.5
Munich Dunkel,18,28,17,28,1.048,1.056,1.01,1.016,4.5,5.6
Schwarzbier,20,35,19,30,1.046,1.052,1.01,1.016,4.4,5.4
Doppelbock,16,26,6,25,1.072,1.112,1.016,1.024,7,10
Eisbock,25,35,17,30,1.078,1.12,1.02,1.035,9,14
Baltic Porter,20,40,17,30,1.06,1.09,1.016,1.024,6.5,9.5
Weissbier,8,15,2,6,1.044,1.053,1.008,1.014,4.3,5.6
Dunkles Weissbier,10,18,14,23,1.044,1.057,1.008,1.014,4.3,5.6
Weizenbock,15,30,6,25,1.064,1.09,1.015,1.022,6.5,9
Ordinary Bitter,25,35,8,14,1.03,1.039,1.007,1.011,3.2,3.8
Best Bitter,25,40,8,16,1.04,1.048,1.008,1.012,3.8,4.6
Strong Bitter,30,50,8,18,1.048,1.06,1.01,1.016,4.6,6.2
British Golden Ale,20,45,2,5,1.038,1.053,1.006,1.012,3.8,5
Australian Sparkling Ale,20,35,4,7,1.038,1.05,1.004,1.006,4.5,6
English IPA,40,60,6,14,1.05,1.07,1.01,1.015,5,7.5
Dark Mild,10,25,14,25,1.03,1.038,1.008,1.013,3,3.8
British Brown Ale,20,30,12,22,1.04,1.052,1.008,1.013,4.2,5.9
English Porter,18,35,20,30,1.04,1.052,1.008,1.014,4,5.4
Scottish Light,10,20,17,25,1.03,1.035,1.01,1.013,2.5,3.3
Scottish Heavy,10,20,12,20,1.035,1.04,1.01,1.015,3.3,3.9
Scottish Export,15,30,12,20,1.04,1.06,1.01,1.016,3.9,6
Irish Red Ale,18,28,9,14,1.036,1.046,1.01,1.014,3.8,5
Irish Stout,25,45,25,40,1.036,1.044,1.007,1.011,3.8,5
Irish Extra Stout,35,50,30,40,1.052,1.062,1.01,1.014,5,6.5
Sweet Stout,20,40,30,40,1.044,1.06,1.012,1.024,4,6
